,Director,Actor,Frequency
149,Scott Derrickson,Chiwetel Ejiofor,1
150,Scott Derrickson,Rachel McAdams,1
151,Scott Derrickson,Benedict Wong,1
152,Antoine Fuqua,Denzel Washington,2
153,Antoine Fuqua,Chris Pratt,1
154,Antoine Fuqua,Ethan Hawke,1
155,Antoine Fuqua,Vincent D'Onofrio,1
156,Patrick Read Johnson,John Francis Daley,1
157,Patrick Read Johnson,Austin Pendleton,1
158,Patrick Read Johnson,Colleen Camp,1
159,Patrick Read Johnson,Neil Flynn,1
160,Greg Tiernan,Seth Rogen,1
161,Greg Tiernan,Kristen Wiig,1
162,Greg Tiernan,Jonah Hill,1
163,Greg Tiernan,Alistair Abell,1
164,Barry Jenkins,Mahershala Ali,1
165,Barry Jenkins,Shariff Earp,1
166,Barry Jenkins,Duan Sanderson,1
167,Barry Jenkins,Alex R. Hibbert,1
168,Shawn Burkett,Brittany Blanton,1
169,Shawn Burkett,Ayse Howard,1
170,Shawn Burkett,Roman Jossart,1
171,Shawn Burkett,Nadia White,1
172,John Lee Hancock,Michael Keaton,1
173,John Lee Hancock,Nick Offerman,1
174,John Lee Hancock,John Carroll Lynch,1
175,John Lee Hancock,Linda Cardellini,1
176,Ricardo de Montreuil,Gabriel Chavarria,1
177,Ricardo de Montreuil,Demián Bichir,1
178,Ricardo de Montreuil,Theo Rossi,1
179,Ricardo de Montreuil,Tony Revolori,1
180,Rob Marshall,Johnny Depp,1
181,Rob Marshall,Penélope Cruz,1
182,Rob Marshall,Ian McShane,1
183,Rob Marshall,Geoffrey Rush,1
184,John Madden,Jessica Chastain,1
185,John Madden,Mark Strong,1
186,John Madden,Gugu Mbatha-Raw,1
187,John Madden,Michael Stuhlbarg,1
188,Scott Hicks,Hermione Corfield,1
189,Scott Hicks,Addison Timlin,1
190,Scott Hicks,Joely Richardson,1
191,Scott Hicks,Jeremy Irvine,1
192,Justin Lin,Chris Pine,1
193,Justin Lin,Zachary Quinto,1
194,Justin Lin,Karl Urban,1
195,Justin Lin,Zoe Saldana,1
196,Sean Penn,Charlize Theron,1
197,Sean Penn,Javier Bardem,1
198,Sean Penn,Adèle Exarchopoulos,1
199,Sean Penn,Jared Harris,1
200,J.J. Abrams,Daisy Ridley,1
201,J.J. Abrams,John Boyega,1
202,J.J. Abrams,Oscar Isaac,1
203,J.J. Abrams,Domhnall Gleeson,1
204,Anna Foerster,Kate Beckinsale,1
205,Anna Foerster,Theo James,1
206,Anna Foerster,Tobias Menzies,1
207,Anna Foerster,Lara Pulver,1
208,Garry Marshall,Jennifer Aniston,1
209,Garry Marshall,Kate Hudson,1
210,Garry Marshall,Julia Roberts,1
211,Garry Marshall,Jason Sudeikis,1
212,Chad Stahelski,Keanu Reeves,1
213,Chad Stahelski,Michael Nyqvist,1
214,Chad Stahelski,Alfie Allen,1
215,Chad Stahelski,Willem Dafoe,1
216,Christopher Nolan,Christian Bale,3
217,Christopher Nolan,Heath Ledger,1
218,Christopher Nolan,Aaron Eckhart,1
219,Christopher Nolan,Michael Caine,2
220,Martin Scorsese,Andrew Garfield,1
221,Martin Scorsese,Adam Driver,1
222,Martin Scorsese,Liam Neeson,1
223,Martin Scorsese,Tadanobu Asano,1
224,Fede Alvarez,Stephen Lang,1
225,Fede Alvarez,Jane Levy,2
226,Fede Alvarez,Dylan Minnette,1
227,Fede Alvarez,Daniel Zovatto,1
228,Thea Sharrock,Emilia Clarke,1
229,Thea Sharrock,Sam Claflin,1
230,Thea Sharrock,Janet McTeer,1
231,Thea Sharrock,Charles Dance,1
232,Lone Scherfig,Gemma Arterton,1
233,Lone Scherfig,Sam Claflin,1
234,Lone Scherfig,Bill Nighy,1
235,Lone Scherfig,Jack Huston,1
236,Clint Eastwood,Tom Hanks,1
237,Clint Eastwood,Aaron Eckhart,1
238,Clint Eastwood,Laura Linney,1
239,Clint Eastwood,Valerie Mahaffey,1
240,Zack Snyder,Ben Affleck,1
241,Zack Snyder,Henry Cavill,2
242,Zack Snyder,Amy Adams,2
243,Zack Snyder,Jesse Eisenberg,1
244,André Øvredal,Brian Cox,1
245,André Øvredal,Emile Hirsch,1
246,André Øvredal,Ophelia Lovibond,1
247,André Øvredal,Michael McElhatton,1
248,Tate Taylor,Emily Blunt,1
249,Tate Taylor,Haley Bennett,1
250,Tate Taylor,Rebecca Ferguson,1
251,Tate Taylor,Justin Theroux,1
252,Sam Taylor-Johnson,Dakota Johnson,1
253,Sam Taylor-Johnson,Jamie Dornan,1
254,Sam Taylor-Johnson,Jennifer Ehle,1
255,Sam Taylor-Johnson,Eloise Mumford,1
256,Christopher Nolan,Hugh Jackman,1
257,Christopher Nolan,Scarlett Johansson,1
258,Matthew Vaughn,Colin Firth,1
259,Matthew Vaughn,Taron Egerton,1
260,Matthew Vaughn,Samuel L. Jackson,1
261,Matthew Vaughn,Michael Caine,1
262,Peter Berg,Mark Wahlberg,3
263,Peter Berg,Michelle Monaghan,1
264,Peter Berg,J.K. Simmons,1
265,Peter Berg,John Goodman,1
266,George Miller,Tom Hardy,1
267,George Miller,Charlize Theron,1
268,George Miller,Nicholas Hoult,1
269,George Miller,Zoë Kravitz,1
270,Robin Swicord,Bryan Cranston,1
271,Robin Swicord,Jennifer Garner,1
272,Robin Swicord,Beverly D'Angelo,1
273,Robin Swicord,Jason O'Mara,1
274,Peter Berg,Kurt Russell,1
275,Peter Berg,Douglas M. Griffin,1
276,Peter Berg,James DuMont,1
277,Terry George,Oscar Isaac,1
278,Terry George,Charlotte Le Bon,1
279,Terry George,Christian Bale,1
280,Terry George,Daniel Giménez Cacho,1
281,Robert Zemeckis,Brad Pitt,1
282,Robert Zemeckis,Marion Cotillard,1
283,Robert Zemeckis,Jared Harris,1
284,Robert Zemeckis,Vincent Ebrahim,1
285,J.A. Bayona,Lewis MacDougall,1
286,J.A. Bayona,Sigourney Weaver,1
287,J.A. Bayona,Felicity Jones,1
288,J.A. Bayona,Toby Kebbell,1
289,David Frankel,Will Smith,1
290,David Frankel,Edward Norton,1
291,David Frankel,Kate Winslet,1
292,David Frankel,Michael Peña,1
293,Byron Howard,Ginnifer Goodwin,1
294,Byron Howard,Jason Bateman,1
295,Byron Howard,Idris Elba,1
296,Byron Howard,Jenny Slate,1
297,Gore Verbinski,Johnny Depp,3
298,Gore Verbinski,Orlando Bloom,2
299,Gore Verbinski,Keira Knightley,2
300,Gore Verbinski,Geoffrey Rush,1
301,Joss Whedon,Robert Downey Jr.,2
302,Joss Whedon,Chris Evans,2
303,Joss Whedon,Scarlett Johansson,1
304,Joss Whedon,Jeremy Renner,1
305,Quentin Tarantino,Brad Pitt,1
306,Quentin Tarantino,Diane Kruger,1
307,Quentin Tarantino,Eli Roth,1
308,Quentin Tarantino,Mélanie Laurent,1
309,Gore Verbinski,Jack Davenport,1
310,Paul Feig,Melissa McCarthy,3
311,Paul Feig,Kristen Wiig,2
