,Director,Average Rating,Major Genre
728,Joe Carnahan,6.8,Action
729,Adam Wingard,5.9,Thriller
730,Shawn Levy,6.675,Comedy
731,Greg Mottola,6.85,Adventure
732,Simon Aboud,6.9,Comedy
733,Ron Howard,6.8125,Mystery
734,Bruce Beresford,7.7,Comedy
735,Martin Scorsese,7.80625,Adventure
736,Oz Perkins,5.15,Horror
737,Ridley Scott,6.778124999999999,Action
738,Terrence Malick,6.25,Drama
739,Rob Cohen,4.9,Action
740,Ben Falcone,5.4,Comedy
741,Jonathan Jakubowicz,6.6,Action
742,Juan José Campanella,8.2,Drama
743,Ethan Coen,7.3999999999999995,Adventure
744,Max Joseph,6.2,Drama
745,Seth MacFarlane,6.375,Comedy
746,Chris Stokes,4.6,Thriller
747,Warren Beatty,5.7,Comedy
748,Mike Flanagan,6.3625,Horror
749,Thor Freudenthal,6.050000000000001,Adventure
750,Gregory Hoblit,7.2,Crime
751,Mike Flanagan,6.3625,Horror
752,Martin McDonagh,7.550000000000001,Comedy
753,McG,6.324999999999999,Action
754,Filip Renc,5.0,Biography
755,John Hillcoat,7.05,Adventure
756,Ed Gass-Donnelly,5.2,Drama
757,Jamal Hill,6.6,Drama
758,Marcus Nispel,5.4,Action
759,David O. Russell,7.4375,Action
760,Kirsten Sheridan,7.5,Drama
761,Jon Favreau,7.324999999999999,Comedy
762,Gavin Hood,6.85,Drama
763,D.J. Caruso,6.35,Action
764,James DeMonaco,5.85,Horror
765,Rajkumar Hirani,8.3,Comedy
766,Gavin Hood,6.85,Action
767,Steven Spielberg,6.725,Action
768,Jake Schreier,6.3,Drama
769,Ben Wheatley,6.35,Drama
770,Marc Forster,6.8,Action
771,Walter Hill,4.5,Action
772,Dean DeBlois,8.0,Animation
773,M. Night Shyamalan,5.109375,Drama
774,Darren Aronofsky,7.1,Drama
775,John Lasseter,6.65,Animation
776,Rob Zombie,5.1,Horror
777,Tyler Shields,4.7,Action
778,Hisonni Johnson,4.8,Comedy
779,Matt Brown,7.2,Biography
780,Jaume Collet-Serra,6.825,Action
781,Tarsem Singh,7.075,Action
782,Bruce A. Evans,7.3,Crime
783,Adam Leon,6.5,Comedy
784,Chris Evans,6.9,Comedy
785,Paul Greengrass,7.6,Biography
786,Jim Sheridan,6.8,Drama
787,Stewart Hendler,4.6,Action
788,Genndy Tartakovsky,6.7,Animation
789,Peter Berg,6.7125,Action
790,Jason Moore,6.6,Comedy
791,Luc Besson,6.35,Comedy
792,Kevin Smith,5.15,Comedy
793,Claude Barras,7.8,Animation
794,Asger Leth,6.6,Action
795,Ivan Reitman,6.2,Comedy
796,Werner Herzog,7.3,Adventure
797,Pierre Coffin,7.550000000000001,Animation
798,Scott Frank,6.5,Crime
799,Edgar Wright,7.35,Action
800,Kevin Smith,5.15,Comedy
801,Martin McDonagh,7.550000000000001,Comedy
802,Robert Zemeckis,7.137499999999999,Animation
803,Kenneth Branagh,6.6,Action
804,Mikael Håfström,6.75,Fantasy
805,Rupert Wyatt,6.8,Crime
806,Mike Newell,6.6,Action
807,James Ponsoldt,7.1,Comedy
808,Amma Asante,6.8,Biography
809,Mario Van Peebles,5.2,Action
810,François Simard,6.7,Action
811,Andrés Muschietti,6.2,Horror
812,Jaume Collet-Serra,6.825,Horror
813,Woody Allen,7.1125,Comedy
814,Wes Anderson,7.875,Animation
815,Spike Lee,6.699999999999999,Crime
816,John Moore,5.4,Crime
817,Danny Boyle,7.262499999999999,Adventure
818,John R. Leonetti,5.0,Horror
819,John R. Leonetti,5.0,Horror
820,Saul Dibb,6.9,Drama
821,Terry Gilliam,6.8,Adventure
822,Stephen Sommers,5.8,Action
823,Antonio Campos,7.0,Biography
824,Dito Montiel,5.8,Drama
825,Phil Claydon,5.3,Horror
826,Farren Blackburn,4.6,Drama
827,Matthias Hoene,5.3,Action
828,Robert Rodriguez,7.35,Action
829,Jason Friedberg,1.9,Comedy
830,Sylvester Stallone,6.975,Drama
831,David Bowers,6.5,Comedy
832,Cary Joji Fukunaga,7.4,Drama
833,Andy Tennant,5.7,Action
834,Larry Charles,6.4,Comedy
835,Erik Van Looy,6.3,Mystery
836,Cristian Mungiu,7.5,Crime
837,Dennis Dugan,5.725,Action
838,Gee Malik Linton,4.2,Crime
839,Aisling Walsh,7.8,Biography
840,Sean Anders,6.199999999999999,Comedy
841,Luca Guadagnino,6.4,Drama
842,Lars von Trier,6.925,Drama
843,Ron Clements,7.4,Animation
844,Tony Scott,6.9,Action
845,Robert Zemeckis,7.137499999999999,Drama
846,Tim Johnson,6.7,Animation
847,Giuseppe Tornatore,7.8,Crime
848,Nathan Morlando,6.3,Thriller
849,Brian Helgeland,7.25,Biography
850,Robert Luketic,6.65,Crime
851,John Carney,7.7,Drama
852,Scott Cooper,6.85,Crime
853,Woody Allen,7.1125,Drama
854,Mark Osborne,7.6,Animation
855,Malcolm D. Lee,5.9,Comedy
856,McG,6.324999999999999,Action
857,Richard LaGravenese,7.075,Biography
858,Alexandre Aja,5.9625,Horror
859,Clint Eastwood,7.8,Biography
860,Allen Coulter,7.2,Drama
861,Naoko Yamada,8.4,Animation
862,Miguel Arteta,6.2,Comedy
863,Steven Knight,7.1,Drama
864,Alexandre Aja,5.9625,Mystery
865,Alexandre Aja,5.9625,Drama
866,James Schamus,6.9,Drama
867,Kyle Patrick Alvarez,6.9,Biography
868,David Bowers,6.5,Comedy
869,J.J. Abrams,7.206250000000001,Action
870,Hannes Holm,7.7,Comedy
871,James Wong,2.7,Action
872,Dan Bradley,5.4,Action
873,Lone Scherfig,7.0,Drama
874,Greg Berlanti,6.6,Comedy
875,Juan Carlos Fresnadillo,7.0,Drama
876,Jonathan Levine,7.300000000000001,Comedy
877,Woody Allen,7.1125,Drama
878,Jon M. Chu,6.175000000000001,Action
879,Jonathan Liebesman,5.85,Action
880,Hideaki Anno,6.9,Action
881,John Lee Hancock,7.475,Biography
882,Wally Pfister,6.3,Drama
883,Carlos Saldanha,6.9,Animation
884,Drake Doremus,6.1,Drama
885,Alejandro González Iñárritu,7.7,Drama
886,Terrence Malick,6.25,Drama
887,Scott Hicks,6.05,Drama
888,Alexandre Aja,5.9625,Comedy
889,Jonathan Levine,7.300000000000001,Comedy
890,Femi Oyeniran,3.5,Crime
891,Judd Apatow,6.425000000000001,Comedy
892,Shawn Levy,6.675,Action
893,Michael Patrick King,4.9,Comedy
894,Sylvester Stallone,6.975,Action
895,Robert Rodriguez,7.35,Action
896,Peter Landesman,7.1,Biography
897,Tarsem Singh,7.075,Adventure
898,Robert Luketic,6.65,Comedy
899,Gary Winick,5.5,Comedy
900,Leslye Headland,6.5,Comedy
901,David R. Ellis,5.6,Action
902,Michael Dowse,6.55,Comedy
903,Dean DeBlois,8.0,Animation
904,José Padilha,6.2,Action
905,James Franco,6.2,Drama
906,Michael Showalter,6.7,Comedy
907,Steven Soderbergh,6.55,Crime
908,James Gunn,7.05,Comedy
909,Steven Soderbergh,6.55,Drama
910,Matteo Garrone,6.4,Drama
911,Oz Perkins,5.15,Thriller
912,Gabor Csupo,7.2,Adventure
913,James Ward Byrkit,7.2,Mystery
914,George Tillman Jr.,6.75,Biography
915,Hong-jin Na,7.5,Drama
916,Simon West,6.6,Action
917,Gregory Wilson,6.7,Crime
918,Tom Tykwer,7.15,Crime
919,Chris Weitz,6.1,Adventure
920,Neil Marshall,6.4,Action
921,Christopher Landon,6.3,Action
922,Burr Steers,6.1,Comedy
923,John Erick Dowdle,6.8,Action
924,Bryan Singer,6.824999999999999,Action
925,Bill Condon,5.2,Adventure
926,Lee Daniels,7.25,Drama
927,Gus Van Sant,5.9,Drama
928,Chris McCoy,6.1,Comedy
929,Paul Thomas Anderson,7.25,Drama
930,Craig Brewer,5.9,Comedy
931,R.J. Cutler,6.8,Drama
932,Ido Fluk,5.4,Drama
933,Christopher Smith,6.6,Thriller
934,Anna Biller,6.2,Comedy
935,Adam McKay,6.8125,Action
936,Tom Six,4.4,Horror
937,James Gunn,7.05,Comedy
938,Richie Smyth,7.3,Action
939,Jason Reitman,7.45,Drama
940,Ryûhei Kitamura,6.1,Horror
941,David Slade,4.9,Adventure
942,Greg Kwedar,5.8,Thriller
943,Mark Mylod,6.1,Comedy
944,David Twohy,6.4,Action
945,Christopher Smith,6.6,Fantasy
946,Lee Daniels,7.25,Biography
947,Justin Kelly,5.6,Crime
948,M. Night Shyamalan,5.109375,Action
949,Justin Tipping,6.1,Adventure
950,Alfonso Gomez-Rejon,7.8,Comedy
951,Alexander Payne,7.3,Comedy
952,Michael Patrick King,4.9,Comedy
953,Jordan Vogt-Roberts,7.2,Adventure
954,Paul W.S. Anderson,5.93125,Action
955,Tom Gormican,6.2,Comedy
956,Scott Stewart,5.2,Action
957,David Ayer,7.300000000000001,Crime
958,McG,6.324999999999999,Action
959,Paul McGuigan,6.9,Crime
960,Danny Boyle,7.262499999999999,Crime
961,Patricia Rozema,5.9,Drama
962,Justin Chadwick,6.7,Biography
963,Steven R. Monroe,6.3,Crime
964,James Lapine,6.9,Drama
965,David Lynch,7.55,Drama
966,Jérôme Salle,6.7,Adventure
967,Robert Zemeckis,7.137499999999999,Adventure
968,Micheal Bafaro,3.5,Action
969,Gore Verbinski,6.675,Action
970,John Luessenhop,4.8,Horror
971,D.J. Caruso,6.35,Drama
972,Adam Shankman,6.300000000000001,Comedy
973,Wes Craven,6.2,Horror
974,Mira Nair,7.4,Biography
975,Kirk Jones,5.85,Comedy
976,Gilles Paquet-Brenner,6.2,Drama
977,Lisa Addario,5.0,Comedy
978,Xavier Dolan,7.55,Drama
979,Pedro Almodóvar,7.6,Drama
980,Patricia Riggen,7.0,Biography
981,Will Gluck,6.074999999999999,Comedy
982,Julie Taymor,7.4,Drama
983,Luke Greenfield,6.5,Comedy
984,Boaz Yakin,6.8,Adventure
985,David Gordon Green,6.3,Adventure
986,Steven Quale,5.9,Horror
987,Shana Feste,6.3,Drama
988,Pascal Laugier,7.1,Horror
989,Ava DuVernay,7.5,Biography
990,Patrick Tatopoulos,6.6,Action
991,Aamir Khan,8.5,Drama
992,Michael Dowse,6.55,Comedy
993,Paul W.S. Anderson,5.93125,Action
994,Nima Nourizadeh,6.7,Comedy
995,Billy Ray,6.2,Crime
996,Eli Roth,5.325,Horror
997,Jon M. Chu,6.175000000000001,Drama
998,Scot Armstrong,5.6,Adventure
999,Barry Sonnenfeld,6.05,Comedy
